y,0,13001,12,-23,NE Extension,Prediction and Research Moored Array in the Atlantic,International Partners,0,E,buoy
y,0,13002,21,-23,NE Extension,Prediction and Research Moored Array in the Atlantic,International Partners,0,E,buoy
y,0,13008,15,-38,Reggae,Prediction and Research Moored Array in the Atlantic,International Partners,0,E,buoy
y,0,13009,8,-38,Lambada,Prediction and Research Moored Array in the Atlantic,International Partners,0,E,buoy
y,0,13010,0,0,Soul,Prediction and Research Moored Array in the Atlantic,International Partners,0,E,buoy
y,0,15001,-10,-10,Gavotte,Prediction and Research Moored Array in the Atlantic,International Partners,0,E,buoy
y,0,15002,0,-10,Java,Prediction and Research Moored Array in the Atlantic,International Partners,0,E,buoy
y,0,15006,-6,-10,Valse,Prediction and Research Moored Array in the Atlantic,International Partners,0,E,buoy
n,0,15007,-6,8,SE Extension,Prediction and Research Moored Array in the Atlantic,International Partners,0,D,buoy
n,0,15319,-5.583,11.833,Sanha - WANE 25947,Chevron,Oil and Gas Industry,0,D,oilrig
n,0,21178,33.12,133.62,South of Shikoku,Japanese Meteorological Agency,International Partners,0,D,buoy
y,0,21401,42.617,152.583,250NM Southeast of Iturup Island,Hydromet (RFERHRI),Tsunami,0,E,dart
y,0,21413,30.515,152.117,"690 NM Southeast of Tokyo, Japan",NDBC,Tsunami,0,E,dart
y,0,21414,48.948,178.263,NW Pacific,NDBC,Tsunami,0,E,dart
y,0,21415,50.183,171.847,175 NM S of Attu AK,NDBC,Tsunami,0,E,dart
y,0,21416,48.058,163.505,240NM SE of Kamchatka Peninsula,NDBC,Tsunami,0,E,dart
n,0,21417,43.192,157.142,290NM SE of the Kuril Islands,NDBC,Tsunami,0,D,dart
n,0,21418,38.711,148.694,"450 NM NE of Tokyo, Japan",NDBC,Tsunami,0,E,dart
y,0,21419,44.455,155.736,209NM SE of KURIL ISLANDS,NDBC,Tsunami,0,E,dart
n,0,21595,36.7,-132.167,Drifter,Japanese Meteorological Agency,International Partners,0,D,buoy
n,0,21597,32.8,155.2,Drifter,Japanese Meteorological Agency,International Partners,0,D,buoy
y,0,21598,42.14,152.69,Drifter,Japanese Meteorological Agency,International Partners,0,D,buoy
n,0,21600,40.7,154.5,Drifter,Japanese Meteorological Agency,International Partners,0,D,buoy
n,0,21636,31.5,127.4,Drifter,Japanese Meteorological Agency,International Partners,0,D,buoy
y,0,21637,19.49,136.37,Drifter,Japanese Meteorological Agency,International Partners,0,D,buoy
n,0,21640,28.3,135.5,Drifter,Japanese Meteorological Agency,International Partners,0,D,buoy
n,0,21707,25,136,,Japanese Meteorological Agency,International Partners,0,D,buoy
y,0,22101,37.23,126.02,,Korean Meteorological Administration,International Partners,0,E,buoy
y,0,22102,34.8,125.77,,Korean Meteorological Administration,International Partners,0,E,buoy
